comment,amr
. What a silly response. They are targets an embedded sniper. needs a make-over.,"# ::snt . What a silly response. They are targets an embedded sniper. needs a make-over.
(m / multi-sentence
      :snt1 (t / thing
            :ARG2-of (r / respond-01)
            :mod (s / silly
                  :degree (s2 / so)))
      :snt2 (t2 / target
            :domain (t3 / they)
            :ARG1-of (e / embed-01)
            :ARG0-of (n / need-01
                  :ARG1 (m2 / make-over-12))))"
Stay safe.,"# ::snt Stay safe.
(s / stay-01
      :ARG3 (s2 / safe-01
            :ARG1 (y / you)))"
why would you tweet the location of snipers? Who does that help?,"# ::snt why would you tweet the location of snipers? Who does that help?
(m / multi-sentence
      :snt1 (c / cause-01
            :ARG0 (a / amr-unknown)
            :ARG1 (t / tweet-02
                  :ARG0 (y / you)
                  :ARG1 (l / location
                        :location-of (s / sniper))))
      :snt2 (h / help-01
            :ARG0 (t2 / that)
            :ARG2 (a2 / amr-unknown)))"
"Stay safe, Matt.","# ::snt Stay safe, Matt.
(s / stay-01
      :ARG1 (p / person
            :name (n / name
                  :op1 ""Matt""))
      :ARG3 (s2 / safe-01
            :ARG1 p))"
very helpful why would you tweet that!!??,"# ::snt very helpful why would you tweet that!!??
(m / multi-sentence
      :snt1 (h / helpful-04
            :degree (v / very))
      :snt2 (c / cause-01
            :ARG0 (a / amr-unknown)
            :ARG1 (t / tweet-01
                  :ARG0 (y / you)
                  :ARG1 (t2 / that))))"
because canada doesnt fuck around with security,"# ::snt because canada doesnt fuck around with security
(c / cause-01
      :ARG0 (f / fuck-around-04
            :polarity -
            :ARG0 (c2 / country
                  :name (n / name
                        :op1 ""Canada""))
            :ARG1 (s / security)))"
right &amp; terrorist don't have access to social media to find out where we have placed that valuable security!,"# ::snt right &amp; terrorist don't have access to social media to find out where we have placed that valuable security!
(s / say-01
      :ARG1 (a / access-01
            :polarity -
            :ARG0 (t / terrorist)
            :ARG1 (m / media
                  :mod (s2 / social))
            :purpose (f / find-out-03
                  :ARG0 t
                  :ARG1 (l / location
                        :location-of (p / place-01
                              :ARG0 (w / we)
                              :ARG1 (s3 / security
                                    :ARG1-of (v / value-02)
                                    :mod (t2 / that))))))
      :ARG2 (a2 / and
            :op1 (r / right-06)
            :op2 (p2 / person
                  :name (n / name
                        :op1 ""amp""))))"
lmao you expect social media to shut down during a shooting? thats when most tweets happen fuckboi,"# ::snt lmao you expect social media to shut down during a shooting? thats when most tweets happen fuckboi
(m / multi-sentence
      :snt1 (e / expect-01
            :ARG0 (y / you)
            :ARG1 (s / shut-down-05
                  :ARG1 (m2 / media
                        :mod (s2 / social))
                  :time (s3 / shoot-02))
            :polarity (a / amr-unknown)
            :mod (l / laugh-01
                  :mode expressive
                  :ARG0 (ii / i)
                  :manner (l2 / loud)))
      :snt2 (f / fuckboi
            :domain (t / that
                  :time-of (t2 / tweet-01
                        :quant (m3 / most)))))"
"Stay safe, Matt!","# ::snt Stay safe, Matt!
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (s2 / stay-01
            :mode imperative
            :ARG1 (p / person
                  :name (n / name
                        :op1 ""Matt""))
            :ARG3 (s3 / safe-01
                  :ARG1 p))
      :ARG2 p)"
"odd how they happened to be already ready for this, eh? doesn't look staged at all. nope. totally believable.","# ::snt odd how they happened to be already ready for this, eh? doesn't look staged at all. nope. totally believable.
(m / multi-sentence
      :snt1 (h / have-manner-91
            :ARG1 (r / ready-02
                  :ARG1 (t / they)
                  :ARG2 (t2 / this)
                  :time (a / already))
            :ARG2 (o / odd)
            :ARG1-of (r2 / request-confirmation-91))
      :snt2 (l / look-02
            :polarity -
            :ARG1 (s / stage-01
                  :ARG1 (e / event))
            :degree (a2 / at-all))
      :snt3 (n / nope)
      :snt4 (p / possible-01
            :ARG1 (b / believe-01
                  :degree (t3 / total))))"
