comment,amr
about time someone comes forward with the truth,"# ::snt about time someone comes forward with the truth
(c / come-forward-31
      :ARG0 (s / someone)
      :ARG1 (t / truth)
      :time (a / about
            :op1 (t2 / time)))"
CHINA,"# ::snt CHINA
(c / country
      :name (n / name
            :op1 ""China""))"
If this turns out to be true  nothing more to say except  BOOM,"# ::snt If this turns out to be true  nothing more to say except  BOOM
(s / say-01
      :ARG1 (n / nothing
            :mod (m / more)
            :ARG2-of (e / except-01
                  :ARG1 (b / boom-02
                        :mode expressive)))
      :condition (t / turn-out-11
            :ARG1 (t2 / true-01
                  :ARG1 (t3 / this))))"
I guess Strzok couldn’t make squeal,"# ::snt I guess Strzok couldn’t make squeal
(g / guess-01
      :ARG0 (ii / i)
      :ARG1 (p / possible-01
            :polarity -
            :ARG1 (m / make-02
                  :ARG0 (p2 / person
                        :name (n / name
                              :op1 ""Strzok""))
                  :ARG1 (s / squeal-01
                        :ARG0 p2))))"
Guess I just made this up,"# ::snt Guess I just made this up
(g / guess-01
      :ARG0 (ii / i)
      :ARG1 (m / make-up-10
            :ARG0 ii
            :ARG1 (t / this)
            :time (j / just)))"
Thats what I hear This article really paints an even worse picture of the FBI and everything about the Obama BS administrationif its accurate,"# ::snt Thats what I hear This article really paints an even worse picture of the FBI and everything about the Obama BS administrationif its accurate
(h / hear-01
      :ARG0 (ii / i)
      :ARG1 (p / paint-03
            :ARG0 (a / article
                  :mod (t / this))
            :ARG1 (p2 / picture
                  :topic (a2 / and
                        :op1 (g / government-organization
                              :name (n / name
                                    :op1 ""FBI""))
                        :op2 (e / everything
                              :topic (g2 / government-organization
                                    :ARG0-of (a3 / administrate-01)
                                    :ARG1-of (b / bullshit-01
                                          :ARG0 (p3 / person
                                                :name (n2 / name
                                                      :op1 ""Obama""))))))
                  :ARG1-of (h2 / have-degree-91
                        :ARG2 (b2 / bad-07
                              :ARG1 p2)
                        :ARG3 (m / more
                              :mod (e2 / even))))
            :ARG1-of (r / real-04)
            :condition (a4 / accurate
                  :domain p2)))"
several GOPrs have come out and said she was very credible in her testimony  I dont know if shes ratting on anyone but she has contradicted some of Strozks testimony,"# ::snt several GOPrs have come out and said she was very credible in her testimony  I dont know if shes ratting on anyone but she has contradicted some of Strozks testimony
(m / multi-sentence
      :snt1 (a / and
            :op1 (c / come-out-09
                  :ARG0 (p / person
                        :ARG0-of (h / have-org-role-91
                              :ARG1 (p2 / political-party
                                    :name (n / name
                                          :op1 ""GOP"")))
                        :quant (s / several)))
            :op2 (s2 / say-01
                  :ARG0 p
                  :ARG1 (c2 / credible
                        :domain (s3 / she)
                        :topic (t / testify-01
                              :ARG0 s3)
                        :degree (v / very))))
      :snt2 (c3 / contrast-01
            :ARG1 (k / know-01
                  :polarity -
                  :ARG0 (ii / i)
                  :ARG1 (r / rat-03
                        :ARG0 s3
                        :ARG1 (a2 / anyone)))
            :ARG2 (c4 / contradict-01
                  :ARG0 s3
                  :ARG1 (t2 / testify-01
                        :ARG0 (p3 / person
                              :name (n2 / name
                                    :op1 ""Strozk""))
                        :quant (s4 / some)))))"
Lets give Lisa immunity and we will really get to the truth,"# ::snt Lets give Lisa immunity and we will really get to the truth
(a / and
      :op1 (g / give-01
            :mode imperative
            :ARG0 (w / we)
            :ARG1 (ii / immunity)
            :ARG2 (p / person
                  :name (n / name
                        :op1 ""Lisa"")))
      :op2 (g2 / get-05
            :ARG1 w
            :ARG2 (t / truth)
            :ARG1-of (r / real-04)))"
So you got a link or some proof nr egghead profile with 58 followers,"# ::snt So you got a link or some proof nr egghead profile with 58 followers
(ii / infer-01
      :ARG1 (g / get-01
            :ARG0 (y / you)
            :ARG1 (o / or
                  :op1 (t / thing
                        :ARG3-of (l / link-01))
                  :op2 (p / profile
                        :mod (p2 / person
                              :name (n / name
                                    :op1 ""nr""
                                    :op2 ""Egghead""))
                        :ARG0-of (p3 / prove-01)
                        :ARG0-of (h / have-03
                              :ARG1 (p4 / person
                                    :quant 58
                                    :ARG0-of (f / follow-02
                                          :ARG1 p)))
                        :mod (s / some)))))"
1st  Guccifer exposed Hillarys server wh Bloomberg hack That had all classified info2 The emails wikileaks posted came from a DNCInsider who took them off DNCServers before  during campaign  2 diff hacks 1 Hillarys 33k emails missing 2 FBI Russia Meddling Lies,"# ::snt 1st  Guccifer exposed Hillarys server wh Bloomberg hack That had all classified info2 The emails wikileaks posted came from a DNCInsider who took them off DNCServers before  during campaign  2 diff hacks 1 Hillarys 33k emails missing 2 FBI Russia Meddling Lies
(m / multi-sentence
      :snt1 (e / expose-01
            :li 1
            :ARG0 (p / person
                  :ARG0-of (h / have-org-role-91
                        :ARG2 (g / guccifer)))
            :ARG1 (s / server
                  :poss (p2 / person
                        :name (n / name
                              :op1 ""Hillary"")))
            :ARG1-of (c / cause-01
                  :ARG0 (h2 / hack-04
                        :ARG0 (p3 / publication
                              :name (n2 / name
                                    :op1 ""Bloomberg""))))
            :ARG0-of (h3 / have-03
                  :ARG1 (ii / information
                        :ARG1-of (c2 / classify-02)
                        :mod (a / all))))
      :snt2 (c3 / come-03
            :ARG1 (e2 / email-01
                  :ARG0 (p4 / publication
                        :name (n3 / name
                              :op1 ""Wiki"")))
            :ARG2 (p5 / person
                  :ARG0-of (h4 / have-org-role-91
                        :ARG1 (o / organization
                              :name (n4 / name
                                    :op1 ""DNC""))
                        :ARG2 (ii2 / insider))
                  :ARG0-of (t / take-off-07
                        :ARG1 e2
                        :time (b / before
                              :op1 (c4 / campaign)))))
      :snt3 (h5 / hack-04
            :quant 2
            :ARG0-of (c5 / cause-01
                  :ARG1 (m2 / miss-02
                        :ARG0 (e3 / email-01
                              :quant 33000
                              :ARG0 (p6 / person
                                    :ARG0-of (h6 / have-org-role-91
                                          :ARG1 (g2 / government-organization
                                                :name (n5 / name
                                                      :op1 ""FBI""))))
                              :ARG1 (l / lie-08
                                    :quant 2
                                    :ARG0 (p7 / person
                                          :ARG0-of (h7 / have-org-role-91
                                                :ARG1 (g3 / government-organization
                                                      :name (n6 / name
                                                            :op1 ""Russia""))))))))))"
