comment,amr
@TimRunsHisMouth Is it still up?,"# ::snt @TimRunsHisMouth Is it still up?
(a / ask-01
      :ARG0 (ii / i)
      :ARG1 (u / up-03
            :ARG1 (ii2 / it)
            :mod (s / still)
            :polarity (a2 / amr-unknown))
      :ARG2 (p / person
            :name (n / name
                  :op1 ""TimRunsHisMouth"")))"
@TimRunsHisMouth #FakeNews #FakeNewsMedia #CNN #FakeNewsCNN,"# ::snt @TimRunsHisMouth #FakeNews #FakeNewsMedia #CNN #FakeNewsCNN
(p / person
      :name (n / name
            :op1 ""TimRunsHisMouth"")
      :mod (f / fake-News)
      :mod (m / media
            :ARG1-of (f2 / fake-News))
      :mod (p2 / publication
            :name (n2 / name
                  :op1 ""CNN""))
      :mod (f3 / fake-News))"
@TimRunsHisMouth Love that got called out in real time. That line of questioning was 🔥,"# ::snt @TimRunsHisMouth Love that got called out in real time. That line of questioning was 🔥
(m / multi-sentence
      :snt1 (p / person
            :name (n / name
                  :op1 ""TimRunsHisMouth""
                  :op2 ""Love"")
            :ARG1-of (c / call-out-15
                  :time (r / real-time)))
      :snt2 (l / line
            :mod (q / question-01)
            :mod (t / that)))"
"And if you're going to say I'm wrong, please provide a clip from today to back up your bullshit.","# ::snt And if you're going to say I'm wrong, please provide a clip from today to back up your bullshit.
(a / and
      :op2 (p / provide-01
            :polite +
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (t / thing
                  :ARG1-of (c / clip-01)
                  :time (t2 / today))
            :purpose (b / back-up-04
                  :ARG0 y
                  :ARG1 (b2 / bullshit-01
                        :ARG0 y))
            :condition (s / say-01
                  :ARG0 y
                  :ARG1 (w / wrong-04
                        :ARG1 (ii / i)))))"
"@TimRunsHisMouth This is manipulation of a stupid populace that gets most of its news from headlines while never delving into details.

They don't write headlines that are truthful. They write the most explosive headlines they think they can somewhat justify. It's a total sham.","# ::snt @TimRunsHisMouth This is manipulation of a stupid populace that gets most of its news from headlines while never delving into details.

They don't write headlines that are truthful. They write the most explosive headlines they think they can somewhat justify. It's a total sham.
(m / multi-sentence
      :snt1 (p / person
            :name (n / name
                  :op1 ""TimRunsHisMouth""))
      :snt2 (m2 / manipulate-02
            :ARG1 (p2 / populace
                  :mod (s / stupid)
                  :ARG0-of (g / get-01
                        :ARG1 (n2 / news
                              :poss p2
                              :quant (m3 / most))
                        :ARG2 (h / headline)
                        :ARG1-of (c / contrast-01
                              :ARG2 (d / delude-01
                                    :polarity -
                                    :ARG0 p2
                                    :ARG2 (d2 / detail)
                                    :time (e / ever)))))
            :domain (t / this))
      :snt3 (w / write-01
            :polarity -
            :ARG0 (t2 / they)
            :ARG1 (h2 / headline
                  :ARG1-of (t3 / true-01)))
      :snt4 (w2 / write-01
            :ARG0 t2
            :ARG1 (h3 / headline
                  :ARG1-of (h4 / have-degree-91
                        :ARG2 (e2 / explosive)
                        :ARG3 (m4 / most)
                        :ARG5 (h5 / headline
                              :ARG1-of (j / justify-01
                                    :ARG0 t2
                                    :ARG1-of (p3 / possible-01
                                          :ARG1-of (t4 / think-01
                                                :ARG0 t2)
                                          :degree (s2 / somewhat))))))
            :snt5 (s3 / sham
                  :mod (t5 / total))))"
@TimRunsHisMouth Did these @CNN hacks leave this up even after being called out during the hearings with proof and confirmation of their blatant LYING??? Disgusting.,"# ::snt @TimRunsHisMouth Did these @CNN hacks leave this up even after being called out during the hearings with proof and confirmation of their blatant LYING??? Disgusting.
(a / ask-01
      :ARG0 (ii / i)
      :ARG1 (l / leave-up-13
            :ARG0 (h / hack
                  :mod (p / publication
                        :name (n / name
                              :op1 ""CNN""))
                  :mod (t / this))
            :ARG1 (t2 / this)
            :concession (e / even-when
                  :op1 (c / call-out-15
                        :ARG1 h
                        :time (h2 / hearing-02)
                        :accompanier (a2 / and
                              :op1 (p2 / prove-01
                                    :ARG1 (l2 / lie-08
                                          :ARG0 h
                                          :mod (b / blatant)))
                              :op2 (c2 / confirm-01
                                    :ARG1 l2))))
            :polarity (a3 / amr-unknown))
      :ARG2 (p3 / person
            :name (n2 / name
                  :op1 ""TimRunsHisMouth""))
      :ARG0-of (d / disgust-01))"
@TimRunsHisMouth #CNN https://t.co/apBnSlDnDy,"# ::snt @TimRunsHisMouth #CNN https://t.co/apBnSlDnDy
(p / person
      :name (n / name
            :op1 ""TimRunsHisMouth"")
      :mod (p2 / publication
            :name (n2 / name
                  :op1 ""CNN""))
      :medium (u / url-entity
            :value ""https://t.co/apBnSlDnDy""))"
@WARDoug @TimRunsHisMouth no,"# ::snt @WARDoug @TimRunsHisMouth no
(p / person
      :name (n / name
            :op1 ""TimRunsHisMouth""
            :op2 ""No""))"
@TimRunsHisMouth #FakeNews,"# ::snt @TimRunsHisMouth #FakeNews
(p / person
      :name (n / name
            :op1 ""TimRunsHisMouth"")
      :mod (f / fake-News))"
@TimRunsHisMouth They can’t help themselves. They are the epitome of contrarianism,"# ::snt @TimRunsHisMouth They can’t help themselves. They are the epitome of contrarianism
(m / multi-sentence
      :snt1 (p / person
            :name (n / name
                  :op1 ""TimRunsHisMouth""))
      :snt2 (p2 / possible-01
            :polarity -
            :ARG1 (h / help-02
                  :ARG0 (t / they)
                  :ARG1 t))
      :snt3 (e / epitome-01
            :ARG1 (t2 / they)
            :ARG2 (c / contrarianism)))"
