comment,amr
"does he have an ""image"" ??","# ::snt does he have an ""image"" ??
(h / have-03
      :polarity (a / amr-unknown)
      :ARG0 (h2 / he)
      :ARG1 (ii / image))"
That's why he is the PM,"# ::snt That's why he is the PM
(c / cause-01
      :ARG0 (t / that)
      :ARG1 (h / have-org-role-91
            :ARG0 (h2 / he)
            :ARG2 (m / minister
                  :mod (p / prime))))"
You missed the part about blocking resources - besd etc and giving it to only those who tag IYC !!,"# ::snt You missed the part about blocking resources - besd etc and giving it to only those who tag IYC !!
(m / miss-02
      :ARG0 (y / you)
      :ARG1 (p / part
            :topic (a / and
                  :op1 (b / block-01
                        :ARG1 (r / resource
                              :example a
                              :op1 (b2 / besd)
                              :op2 (e / et-cetera))))
            :op2 (g / give-01
                  :ARG1 r
                  :ARG2 (p2 / person
                        :mod (o / only)
                        :ARG0-of (t / tag-01
                              :ARG1 (o2 / organization
                                    :name (n / name
                                          :op1 ""IYC"")))))))"
best what u can do is tweet? what is your counter to it?,"# ::snt best what u can do is tweet? what is your counter to it?
(m / multi-sentence
      :snt1 (g / good-02
            :ARG1 (t / thing
                  :ARG1-of (d / do-02
                        :ARG0 (y / you)
                        :ARG1-of (p / possible-01))
                  :domain (t2 / tweet-02
                        :ARG0 y))
            :ARG2-of (h / have-degree-91
                  :ARG1 t
                  :ARG3 (m2 / most)))
      :snt2 (c / counter-01
            :ARG0 (y2 / you)
            :ARG1 (ii / it)
            :ARG2 (a / amr-unknown)))"
What counter can be done for a fake document?,"# ::snt What counter can be done for a fake document?
(p / possible-01
      :ARG1 (d / do-02
            :ARG1 (c / counter-01
                  :ARG1 (d2 / document
                        :ARG1-of (f / fake-02))
                  :mod (a / amr-unknown))))"
Do modi still have a image ???,"# ::snt Do modi still have a image ???
(h / have-03
      :polarity (a / amr-unknown)
      :ARG0 (m / modi)
      :ARG1 (ii / image)
      :mod (s / still))"
"Vo toh apne malik se puch lo, jo toolkit mein likha hain","# ::snt Vo toh apne malik se puch lo, jo toolkit mein likha hain
(a / and
      :op1 (v / voice-01
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (a2 / against
                  :op1 (m / malik))
            :mod (t / toh))
      :op2 (p / puch)
      :op3 (t2 / toolkit
            :mod (p2 / person
                  :name (n / name
                        :op1 ""Joe"")))
      :op4 (l / likha
            :mode expressive))"
",","# ::snt ,
(a / amr-empty)"
+ official ; ; ; ; .. ! !...... ???,"# ::snt + official ; ; ; ; .. ! !...... ???
(a / and
      :op1 (o / official)
      :op2 (x / ;op3))"
?,"# ::snt ?
(r / request-confirmation-91)"
Which fucking part of this pandemic do you find entertaining?,"# ::snt Which fucking part of this pandemic do you find entertaining?
(f / find-02
      :ARG0 (y / you)
      :ARG1 (e / entertain-01
            :ARG0 (a / amr-unknown
                  :part-of (p / pandemic
                        :mod (t / this)
                        :mod (f2 / fucking
                              :mode expressive)))))"
,"# ::snt 
(a / amr-empty)"
These Documents Being Put out by are &amp; Have Been Created by to BJP is Triggered with Congress Helping People in Crisis when Modi Sarkar has ://,"# ::snt These Documents Being Put out by are &amp; Have Been Created by to BJP is Triggered with Congress Helping People in Crisis when Modi Sarkar has ://
(m / multi-sentence
      :snt1 (p / put-out-10
            :ARG0 (c / company
                  :name (n / name
                        :op1 ""Are&amp""))
            :ARG1 (d / document
                  :mod (t / this)
                  :ARG1-of (c2 / create-01
                        :ARG0 (p2 / political-party
                              :name (n2 / name
                                    :op1 ""BJP"")))))
      :snt2 (t2 / threaten-01
            :ARG0 (h / help-01
                  :ARG0 (p3 / political-party
                        :name (n3 / name
                              :op1 ""Congress""))
                  :ARG1 (p4 / person
                        :ARG0-of (c3 / crisis-02))
                  :time (h2 / help-01
                        :ARG0 (p5 / person
                              :name (n4 / name
                                    :op1 ""Modi""
                                    :op2 ""Sarkar""))
                        :ARG1 p4))))"
Where is Our vaccine....,"# ::snt Where is Our vaccine....
(v / vaccine
      :location (a / amr-unknown)
      :poss (w / we))"
"FYI, Only + are adviced to take the vaccine, so no point of this child asking for vaccine","# ::snt FYI, Only + are adviced to take the vaccine, so no point of this child asking for vaccine
(p / purpose-01
      :ARG1 (ii / inform-01
            :ARG1 (y / you)
            :ARG2 (a / advise-01
                  :ARG1 (c / child
                        :mod (t / this))
                  :ARG2 (t2 / take-01
                        :ARG0 c
                        :ARG1 (v / vaccine))
                  :mod (o / only)))
      :ARG2 (a2 / ask-02
            :polarity -
            :ARG0 c
            :ARG1 v))"
