comment,amr
soft af,"# ::snt soft af
(s / soft-02
      :mod (a / af))"
typical right wing redneck response more death,"# ::snt typical right wing redneck response more death
(r / respond-01
      :ARG1 (r2 / redneck
            :ARG1-of (r3 / right-08))
      :ARG1-of (t / typical-02)
      :ARG0-of (c / cause-01
            :ARG1 (d / die-01
                  :mod (m / more))))"
MORE: Le Pen announced she would reintroduce the death penalty if she wins Frances presidential election,"# ::snt MORE: Le Pen announced she would reintroduce the death penalty if she wins Frances presidential election
(a / announce-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""Le""
                  :op2 ""Pen""))
      :ARG1 (r / reintroduce-02
            :ARG0 p
            :ARG1 (p2 / penalize-01
                  :manner (d / die-01))
            :condition (w / win-01
                  :ARG0 p
                  :ARG1 (e / elect-01
                        :ARG1 p
                        :ARG2 (p3 / president
                              :ARG2-of (h / have-org-role-91
                                    :ARG0 p
                                    :ARG1 (c / country
                                          :name (n2 / name
                                                :op1 ""France"")))))))
      :ARG1-of (h2 / have-quant-91
            :ARG3 (m / more)))"
"No, she said she would organize a referendum.","# ::snt No, she said she would organize a referendum.
(s / say-01
      :ARG0 (s2 / she)
      :ARG1 (o / organize-01
            :ARG0 s2
            :ARG1 (r / referendum))
      :mod (n / no))"
: BREAKING: French far-right leader Le Pen calls for death penalty,"# ::snt : BREAKING: French far-right leader Le Pen calls for death penalty
(b / break-AKING
      :ARG1 (c / call-03
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""Le""
                        :op2 ""Pen"")
                  :ARG0-of (l / lead-02
                        :ARG1 (p2 / political-party
                              :name (n2 / name
                                    :op1 ""Far""
                                    :op2 ""Right"")
                              :mod (c2 / country
                                    :name (n3 / name
                                          :op1 ""France"")))))
            :ARG1 (p3 / penalize-01
                  :manner (d / die-01))))"
I'm neither,"# ::snt I'm neither
(h / have-mod-91
      :polarity -
      :ARG1 (ii / i))"
what a RWNJ she is,"# ::snt what a RWNJ she is
(s / she
      :mode expressive
      :ARG1-of (r / ridiculous-02))"
sometimes you need to kill to prevent yourself/ourselves from being killed,"# ::snt sometimes you need to kill to prevent yourself/ourselves from being killed
(n / need-01
      :ARG0 (y / you)
      :ARG1 (k / kill-01
            :ARG0 y)
      :frequency (s / sometimes)
      :purpose (p / prevent-01
            :ARG0 y
            :ARG1 (k2 / kill-01
                  :ARG1 (o / or
                        :op1 y
                        :op2 y))))"
They do but they are quite wrong in my humble opinion,"# ::snt They do but they are quite wrong in my humble opinion
(c / contrast-01
      :ARG1 (d / do-02
            :ARG0 (t / they))
      :ARG2 (w / wrong-04
            :ARG1 t
            :degree (q / quite)
            :ARG1-of (o / opine-01
                  :ARG0 (ii / i)
                  :manner (h / humble))))"
"these people want to die, so bringing back the death penalty is no deterent to them !","# ::snt these people want to die, so bringing back the death penalty is no deterent to them !
(w / want-01
      :ARG0 (p / person
            :mod (t / this))
      :ARG1 (d / die-01
            :ARG1 p)
      :ARG0-of (c / cause-01
            :ARG1 (d2 / deter-01
                  :polarity -
                  :ARG0 (b / bring-01
                        :ARG1 (p2 / penalize-01
                              :manner d))
                  :direction (b2 / back))
            :ARG1 p))"
j'sais pas du tout j'essaye de voir ou est ce qu'elle aurait pu dire a,"# ::snt j'sais pas du tout j'essaye de voir ou est ce qu'elle aurait pu dire a
(m / multi-sentence
      :snt1 (a / ask-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""J""))
            :ARG1 (n2 / nastiness
                  :polarity -
                  :domain (a2 / amr-unknown)
                  :mod (d / du-tout))
            :ARG2 p)
      :snt2 (c / cause-01
            :ARG0 (a3 / amr-unknown)
            :ARG1 (a4 / and
                  :op1 (v / voir)
                  :op2 (e / est-02
                        :ARG1 (a5 / amr-unknown)))))"
: Le Pen announced she would reintroduce the death penalty if she wins Frances presidential election PARDON?!,"# ::snt : Le Pen announced she would reintroduce the death penalty if she wins Frances presidential election PARDON?!
(a / announce-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""Le""
                  :op2 ""Pen""))
      :ARG1 (r / reintroduce-02
            :ARG0 p
            :ARG1 (p2 / penalize-01
                  :manner (d / die-01))
            :condition (w / win-01
                  :ARG0 p
                  :ARG1 (e / elect-01
                        :ARG2 (p3 / president
                              :ARG2-of (h / have-org-role-91
                                    :ARG0 p
                                    :ARG1 (c / country
                                          :name (n2 / name
                                                :op1 ""France"")))))))
      :polarity (a2 / amr-unknown)
      :mod (f / final))"
i accept u opinion on this. I personally want the death penalty here in the uk.,"# ::snt i accept u opinion on this. I personally want the death penalty here in the uk.
(m / multi-sentence
      :snt1 (a / accept-01
            :ARG0 (ii / i)
            :ARG1 (t / thing
                  :ARG1-of (o / opine-01
                        :ARG0 (y / you)
                        :topic (t2 / this))))
      :snt2 (w / want-01
            :ARG0 (ii2 / i)
            :ARG1 (p / penalize-01
                  :manner (d / die-01))
            :location (h / here
                  :location (c / country
                        :name (n / name
                              :op1 ""UK"")))
            :ARG1-of (p2 / personal-02)))"
better than far right wing hater,"# ::snt better than far right wing hater
(h / have-degree-91
      :ARG2 (g / good-02)
      :ARG3 (m / more)
      :ARG4 (p / person
            :ARG1-of (r / right-08
                  :degree (f / far))
            :ARG0-of (h2 / hate-01)))"
en tout cas pcq c'est n'importe quoi,"# ::snt en tout cas pcq c'est n'importe quoi
(a / and
      :op1 (a2 / ask-01
            :ARG0 (ii / i)
            :ARG1 (t / truth-value
                  :polarity-of (h / have-mod-91
                        :ARG2 (c / court-decision
                              :name (n / name
                                    :op1 ""Scotland""
                                    :op2 ""Court""
                                    :op3 ""of""
                                    :op4 ""the""
                                    :op5 ""United""
                                    :op6 ""States"")))))
      :op2 a2
      :ARG0 ii
      :ARG1 (t2 / truth-value
            :polarity-of (h2 / have-mod-91
                  :ARG2 (a3 / au-cetera))))"
for herself ? why not...,"# ::snt for herself ? why not...
(h / have-polarity-91
      :ARG2 -
      :beneficiary (s / she)
      :ARG1-of (c / cause-01
            :ARG0 (a / amr-unknown)))"
Different to Capital Punishment...that's defending against attack CP is revenge,"# ::snt Different to Capital Punishment...that's defending against attack CP is revenge
(m / multi-sentence
      :snt1 (d / differ-02
            :ARG2 (p / punish-01
                  :mod (c / capital)))
      :snt2 (r / revenge
            :domain (d2 / defend-01
                  :ARG1 (a / attack-01))))"
c quoi cette merde,"# ::snt c quoi cette merde
(a / amr-unintelligible
      :value ""cqui cette merde"")"
what an assyrian LWNJ,"# ::snt what an assyrian LWNJ
(p / person
      :name (n / name
            :op1 ""LWNJ"")
      :mod (c / country
            :name (n2 / name
                  :op1 ""Iran""))
      :degree (s / so))"
it's not a revenge. It's a punishment. Do you think it's fair to the victims? Seriously what is wrong with you,"# ::snt it's not a revenge. It's a punishment. Do you think it's fair to the victims? Seriously what is wrong with you
(m / multi-sentence
      :snt1 (c / contrast-01
            :ARG1 (r / revenge
                  :polarity -)
            :ARG2 (p / punish-01
                  :domain (ii / it)))
      :snt2 (t / think-01
            :ARG0 (y / you)
            :ARG1 (f / fair-01
                  :ARG1 (ii2 / it)
                  :ARG2 (v / victim))
            :polarity (a / amr-unknown))
      :snt3 (w / wrong-02
            :ARG1 (a2 / amr-unknown)
            :ARG2 (y2 / you)
            :ARG1-of (s / serious-01)))"
That's a shame....,"# ::snt That's a shame....
(s / shame
      :domain (t / that))"
"That is the easy way out, let them suffer.","# ::snt That is the easy way out, let them suffer.
(w / way
      :ARG1-of (e / easy-05)
      :direction (o / out)
      :domain (t / that)
      :ARG1-of (l / let-01
            :ARG0 (y / you)
            :ARG1 (s / suffer-01
                  :ARG0 (t2 / they))))"
