text_id,text,task_2
hasoc_hi_3043,मा*रचोद मुल्ला।हिम्मत है तो सामने आकर काफिर बोल साले हलाला से पैदा हुआ है न फिर से वहीं घुसा दुँगा।सुअर पालते हो और सुअर की पूजा करते हो मस्जिद में तुम सब।,PRFN
hasoc_hi_6068,कुछ कमीने #नीच ग्रह में पैदा होते है और वो पैदा होते ही अपने परिवार वालो को अपने #बाप को आस पास के लोगो को नही वरन सारी #कायनात को दुःख देते ही रहते है या फिर बोले तो ये कमीने दुःख देने के लिए ही पैदा होते है  उनमें एक ये #टोटिचोर शामिल है    ,OFFN
hasoc_2020_hi_3571,@chowkid87435826 @karanslove @SampatSaral @sardanarohit @vinodkapri @sakshijoshii @khanumarfa @zoobear @umashankarsingh @bainjal @jainendrakumar @MamataOfficial @msisodia @pankhuripathak मोदी तो चोर है इसमें कोई किन्तु परंतु नहीं हैरोहिंगिया या बंगला देशी मुस्लिम ही क्यू बंगला देशी हिन्दू को भी बाहर निकालना चाहिए।तड़ीपार बोलता है हम सिर्फ मुस्लिम को बाहर निकलेंगे वो ठीक है साला तड़ीपार पूरे देश में नफ़रत फैलाया है,HATE
hasoc_hi_5155,#कमीने मेरे बगैर सब आनंद ले रहे है     #गजबकरतेहोयार          #हिंदीशब्द   #Nikk0777,OFFN
60c5d7495659ea5e55df17c4,@BoltaHindustan @MrVijayVarma ONCE IN A CENTURY  @narendramodi @PMOIndia  #मनहुसमोदी का साया मेरे देश के ऊपर से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  #ResignModi मानवता केलिऐ #ResignPMModi देशभक्त हो तो,OFFN
hasoc_2020_hi_1084,RT @IshwarKhodani  राहुल गांधी के धार्मिक जीजा मौलाना मसूद अजहर वैश्विक आतंकी घोषित   सेक्युलर्स में मातम पसरा   #MasoodAzhar @RahulG ,HATE
hasoc_hi_5172,तेरी बहनी महतरी लौंडिया की chut पशिया की झाँट माँदर chod मुँह में लुँड कर दूँगा,PRFN
hasoc_2020_hi_3530,RT @neel23456  @TVMohandasPai मौन सिह  अरे ओ पचौरी तूनेकांग्रेस का नमक खाया हैपचौरी  बराबर बोले सरदारमौन सिंह  नमक का हक अदा करनेका समय ,OFFN
hasoc_hi_6137,सिर्फ़ भ़ड़व़ा B ग्रेड़  वालों को मिर्ची लग रही है   ,PRFN
60c5d7495659ea5e55df1807,To #FixTheCountry Modi needs to resign  #Retweet if you agree   #ResignPMmodi #didiodidi #ModiKaVaccineJumla #COVIDisAirborne #IndiaNeedsOxygen #ExitModi #किसानोंकामोदीकोधोबीपटका #KindAttnPMNarendraModi #SOSDelhi ,HATE
hasoc_2020_hi_1132,RT @atanshumman  @UniquePrinces @iamsolanki नाक है ही कहा  जो रागड़े गा यह तो बस दिखावा है नाक तो वही इटली मे रेह गई,OFFN
60c5d7495659ea5e55df176e,@Krishna64524734 @DKSinghSom ये कुत्ता है कौन कब से भौंके जा रहा है शर्म नहीं आती ठाकुर  सिंह और साहब एड करते हो अपने नाम में और रघुवंशी का मतलब समझते हो  अपने पापा को क्यों जगजाहिर करना चाह रहे हो तुम सामने होते तो अब तक तुम्हारी चटनी बन गई होती  और जुबान संभाल के बात किया करो,OFFN
60c5d7495659ea5e55df1ce9,अब तक जिसका खून न खौला  वो खून नहीं है  पानी है। जो कार्यकर्ताओं के काम न आए  वो बेकार प्रधानी है।।   #BengalBurning #BengalViolence,OFFN
60c5d7495659ea5e55df075d,@AcharyaPramodk @yadavakhilesh पर तु भी ढोंगी और दोगला ही निकला क्योंकि शायद तेरी इटालियन अम्मी और तीब्र नथुनी ने तेरे पर उम्मीद लगाई थी पर अफसोस तू तो और भी बड़े गंदे गटर का ही उत्पाद ही साबित हुआ है। अब तू अपनी फिक्र कर टोंटी वालों की चिंता छोड़।,OFFN
hasoc_hi_5189,गरीब व पिछड़े लोग हर साल पैदल यात्राओं में जा रहे हैं फिर भी बुरे  हाल हैं  जो आज तक नहीं गये वो मालामाल  हैं।  @Anjupra7743 @KaranwalTanu,HATE
hasoc_hi_5446,Liberals ko Thokne ka time aagaya hai  n this imbecile @RahulGandhi will make him naked     @priyankagandhi @sampitroda @ShashiTharoor @KapilSibal @PChidambaramIN @KamalnathINC @ShekharGupta @SoniRazdan @dhruvrathee @RamGuha @yadavakhilesh @ReallySwara,OFFN
hasoc_hi_5235,##कमीने कमलनाथ को चाहिए 'अली' हमें चाहिए बजरंग बली  योगी आदित्यनाथ    निर्णय 'हिंदुओं' को करना है कि सत्ता में कौन रहे    ,HATE
hasoc_hi_463,#असली बात ये है कि #कुछ #कमीने #किस्म के #लोग #अपनी #बहन से की #शादी करना चाह रहे थे जिन्हें #समाज के लोगो द्वारा समाज से #बहिष्कार कर दिया गया जिसके कारण भेनचोद #मुस्लिम बन गए उसके बाद से वे अपनी बहन को लगातार चोद रहे है सब साले    यही भारतीय #उपमहादीप के मुसलमानों की सचाई है,PRFN
hasoc_hi_6550,ढूंढ के नहीं मारना चाहिए भाई  उसकी मजबूरी समझो  कोई शादी शुदा बन्दा है अपनी कम  अपने परिवार की भविष्य की ज्यादा सोचता है । तुम्हारे दिल्ली जैसे शहर में कोई ध्रुव त्यागी अपने बेटी की आन के लिए जान गवा देता है और मादरजात राजनेताओं और भड़वा पत्रकारों के मुंह से उफ्फ तक नहीं निकलता,PRFN
hasoc_2020_hi_4328,RT @kailashMandir01  @DevOza7 @tanhadil1981 यह केवल जिहादी मानसिकता को ही दर्शाता है।,HATE
