id,twitter_id,text,comments,labels
hasoc_0,1391721497039835136,Two Feku in single frame,::Fudu::Two n single frame,HOF
hasoc_1,1395707691197026307,", -","Uncle manipulative media pe kuch kahenge ya bhag gaye::::::Dr mashur Gulati aap itna jhoot kyu bolte he::Mc kya juth bol de::::Submit Patra ji jindabad BJP jindabad::::Jara Dharatal par jakar to Dekho halat....::, ,::::?::::::Tool kit::.... /- , /- , /-:::::In bhaisahab ke pas data hai palayan karne walon ka shayd inhone lakh likha hai inse zara pooch ke data show karayiye warna farzi data ki baat karke brahmit karne ke liye karyawahi ki jaye::Gober bhakt palayan bahut jaldi kerte Hain::Bus ya Or kuch::::Tu Quran Sharif hadees Kala Bhoot aa Raha hai Na gardan kaatne ke liye jihad karne ke liye uthattora::::::Thanks giving::Patra sahab apka toolkit ko phus kar diya gaya aur aap kidhar hai.. apki party kidhar hai... it seems whole party is sleeping.. what has happened to you all..u just shout and move on..::::::Want to see on News Debate, where are you sir ji.Please exposed Congress ToolKit.::Toolkit ka kya. Huva::Toolkit Patra::::You are an expert in Media Manipulation, nothing else::?::.::SIR JI MUJHE AISA LAGTA KI CORONA RJD KA HISSA HAI ISLIYE USKA BHI DIMAG KHARAB HAI LALUJI KE PARIWARWALON KI TARAH ,INKE YAHAN JALDI JALDI CORONA KA TIKA PAHUCHAIYE TAB INKE IMUNITY BADHNE KE SATH SATH SOCHNE KI TAKAT BADHEGI KI MAI AAYEGA TOH MODI HE.::Definitely this video for u.. MUST WATCH::This is for u.. MUST WATCH::Modi gujrat Jayega::::::What about the victims of post poll violence??? still stillness is disgusting!::Tool kit ,tool kit cry the manipulative people , to divert attention from health pandemic .::BJP still cant get over Chanakya is still having heartaches?::Modi started with his much awaited crocodile tears::::?::::jhooth pr jhooth::Patra ji vidhayko ko saal me rs do fer dakho gujara kase hotaa he::::tmc::,,::%::. . Sambit you better be careful. Zor se bolo modi modi::Achi baat h ye to sirKi mamta ji ki govt h aur center se paise farmers ko milne laga h Beauty of democracy::..."""" , """" ..!::?? ! ! ?? ! !!::corona::, , ? !!!!::Patra the manupulator.::::Aur farzi toolkit manipuleted::::WB k logo k Laat bada jldi bhul gye.::::Pahle kisne roka tha. Mr. MMM (Manipulated media)::::!!!!!!::Ka beta gobar chap Patra Kaisa beizzat Kiya ne Twitter ne ab jaoge beta tehar taiyari Kar lo::::::..::Manipulated media..how public believe on you?::????::::Jhooth mat bolo Patra ji::Aisa hai Sambit Bhaiya apne Baba Modi ji ko bata dena mai vote apne kisaan bhaiyo aur vishwas wale bhaiyo se hi maang lenge .. Urban Middle class ke liye to kuch kiya nahi aur ab krna bhi mat kyuki kuch hone wala nahi hai usse::::Ab iske paise bhi khalo tum log.... Jhuti BJP govt... Choro ka Adda::l , l l l::::?::Aap Jaise chutiya party aur kahin Dekhi::::::..::...::Sambit ji, Aaj kal Bangla ke bahut video What's App per share ho rahe hai jisko dekhne ke bad lagtaa hai ki ""Kya hum hindu surakshit hai""Sir, Hame Hindu Rashtra Chahey jise ki hamare bacche bhavishya my surakshit rahe.Jai Hind.Jai Shree Ram.::::What is you will choose, Pm fund gives /- in a year or state government give /- yearly with farmers life insurance covered. So, state government are working more benifeciary for the farmers and their family. Centre government just doing propaganda,,,,,::::But, Mamata Banerjee distributed letter that due to her efforts WB farmers got the money. How are you defending it and clarify the public from rumours.::abe Tu kabse ekisaan bhaiyo ki madad karne laga hai::::::?::, ?",NONE
hasoc_2,1395803002477465603,"kabhi kabhi gu ki misaal bhi di jaati hai pata hona chaheye aapko bhai,,",,HOF
hasoc_3,1391785784924016640,,"::"" +""::?::::, , , ,::Kyada gyan mat pelo ye sab tumhare us harami kutte MANU ne failaya hai. Nahi toh jati wad is charam pe nahi hota",HOF
hasoc_4,1395708508138401796,,Tu Quran Sharif hadees Kala Bhoot aa Raha hai Na gardan kaatne ke liye jihad karne ke liye uthattora::,HOF
hasoc_5,1392712924192395264,Ass per rss and some godi media cow mata is taking oxygen and producing oxygen instead of carbon dioxide,And as per Ola people will get slut in heaven,HOF
hasoc_6,1391718689020387332,,Haan Betikhod.. aise tweet karne se ho jayegi na woh arrest.. itna hi dimaag hai tum logo me..??,HOF
hasoc_7,1385532061876834306,Ma'am I would like to host a debate between you and . Please consider,"::Ek teer do nishan::Battle for dumbness::Women card phek Marengi ye... account suspend ho Jayega::It will be called to conversation::Debate on Politics or Mathematics?::Just for time to pass the debate is okay::Mahua OOO Pahua....::::It will be wonderful to watch the conversation between a sienis and a shkolar.::It will be like Paapu vs Paapu::Ohh shit it would be biggest debate after Trump vs Biden::Will be a laugh riot::Hmmm sounds good but trust me man comes out a winner::Please include the queen of drama queens too::Bhai reham khao reham,,,,is mahamari k samaj ,,jameen pe lita lita k pet pakad k hasne ko majboor na karo bhai::Both might discuss designer sarees::Host kaun banega ?Ek taraf Pythagoras aur dusre taraf::You already interview Mahua ma'am. Why another interview? Lalchi::Maharashtra - Best CMDELHI - Over Smart CM::vs ye dono apni baat hi bolti rhti aas pass kya chl rha hai kuch mtlb nhi hai all they need is good loudspeaker rest all is distraction::Debate between dumb and dumber::Godi::Mahua will win bcoz she can speak better hi-fi English than Priyanka..Lagi bet::Please organise a open if not a debate a press conference with the great leader PM Modi and Sha.. Hope you know what u are talking.::Madams dopamine levels are constantly depleting therefore cannot accept your request!Soon madam shall be taking an exodus across border with her entire kind post May",NONE
hasoc_8,676627812346814465,Fully agree sir! His credentials vouch for that!,"aapiye chutiye hote hain .. bohot pele jate hr jgh ye saale::inka leader bhi pela jata hai hg jgh kabhi joota toh kabhi thappad::are maderchod supreme Court ne unhe clean chit diahai,behanchod salary tujhe malum sahi.",HOF
hasoc_9,1392713058368192514,Exactly we r not offended unlike others.. Let them print what they want. That's none of our concernn,Really . U will not be beheaded.::because you can do nothing,NONE
