text_id,text,task_2
60c5d7495659ea5e55df0da2,Judge  who is this DONKEY   एक गधा विकास कार्यों में बाधा डालता रहता है और फिर रोज़ कहता है कि मोदी काम नहीं करते हैं।    ,NONE
60c5d7495659ea5e55df17b8,@sambitswaraj @JPNadda राष्ट्रपती शासन एक मात्र वीकलप है मूर्खों  ये उपद्रवि नही है  आतंकवादी हैं। दूसरा कश्मीरी बन चूका है बंगाल। #BengalBurning #bangalviolence #Article356 #ArrestMamataBanerjee,OFFN
hasoc_2020_hi_3701,चुनाव आयोग ने गिरिराज सिंह को 'कब्र' वाले बयान के लिए चेतावनी दी #Election2019 #Electionswithndtv ,NONE
hasoc_hi_6050,अगर पाकिस्तान सेमीफाइनल में पहुंचती है और भारत अपने अगले दोनों मुकाबले जीतता है तो इस स्थिति में पाकिस्तान की भिंड़त भारत से हो सकती है। लेकिन उसके लिए ऑस्ट्रेलिया को दक्षिण अफ्रीका से अपना आखिरी मैच हारना होगा।  #ICCWorldCup2019 #CWC2019 #INDvsPAK,NONE
60c5d7495659ea5e55df070f,कनाडा में एक मुस्लिम परिवार के 4 फ़र्द को रौंदकर क़त्ल करने वाला आतंकवादी यहूदी है। यक़ीन जानिये अगर ये क़त्ल करने वाला मुस्लिम होता और मक़तूल फ़ैमिली ग़ैर मुस्लिम होती तो दुनिया की इस्लामोफोबिक मीडिया अबतक  इस्लामिक आतंकवाद  का रंडी रोना रो रही होती। #IslamophobiaIsTerrorism,PRFN
60c5d7495659ea5e55df0523,जब पूर्व सांसद मोहम्मद शाहबुद्दीन की करोना रिपोर्ट नेगेटिव थे तो फिर उनकी किस कारण हुई  पूछता है भारत #JusticeForShahabuddin,NONE
hasoc_hi_1603,हे #गोदीमीडिया के #भक्तएंकर @SushantBSinha जी अपने मुख से #प्रज्ञाठाकुर पर भी कुछ प्रवचन सुना देते।,OFFN
60c5d7495659ea5e55df1196,मोदी की उलटी गिनती शुरू #ModiKaVaccineJumla #चोरपार्टीभाजपा @PMOIndia @narendramodi @mlkhattar,NONE
hasoc_2020_hi_1249,एक और फिल्म पर गिरी चुनाव आयोग की गाज  इनकी रिलीज भी रुक सकती है  ,NONE
hasoc_2020_hi_2344,RT @agrwalakhil  आज दिल्ली वालों सोच समझ कर वोट करना एक बार आप पप्पू बन चुके हो आज नहीं बनना जो आदमी अपने गुरू का नहीं हुआ वो आपका किया हो ,OFFN
60c5d7495659ea5e55df1519,@HardeepBhuria @PoonamLohiaAap महिला दिवस पर अंदर का जानवर मर जाता है जैसे 26जनवरी व 15अगस्त पर लोगों के अंदर की देशभक्ति जाग जाती हैं| अब स्लोगन ये नहीं #बेटी बचाओ बेटी पढ़ाओ हमारी बेटियां बच भी रही  पढ़ भी रही है और मेडल भी लेकर आ रही है| अब स्लोगन होगा  #बेटों को समझाओ नहीं माने तो थप्पड़ मारो#,NONE
hasoc_2020_hi_2930,RT @NkumarAAP  बुराड़ी विधानसभा में SMS Public School के बूथ पर EVM को शील नहीं किया है बूथ एजेंट को जबरदस्ती साइन करा के बाहर निकाल दिया ,HATE
hasoc_hi_3751,तुम्हारी मा को चोदू भोंसड़ी वाले रण्डी की औलाद  हलाला की पैदाइस भड़वे साले सबको ब्लॉक करके भाग क्यो गया रहे मादरचोद,PRFN
hasoc_2020_hi_598,RT @NimbuMassala  @kusumanjalising मेरे यहाँ से भी 3 कीलें ही ठोंकी गयीं ,NONE
hasoc_hi_1920,नीच आदमी ही किसी को नीच बोल सकता है।   क्योंकि वह अपनी ही  निगाह से जग को देखेगा।  #बाबाबख्तियार ने शूद्रों को लिखा #नीच ।,NONE
hasoc_hi_7739,क्यों  मुकाबला करने में गांड फटती है क्या  ,PRFN
60c5d7495659ea5e55df08f8,जब कुर्बानी देने का टाइम आता है  तो सिपाही की दी जाती है राजा और राजकुमार जिंदा रहते हैं गद्दी पर बैठने के लिए ।   #JusticeForShahabuddin,NONE
60c5d7495659ea5e55df0880,@sengarlive अगर धरना देने से सब सही हो जाता तो    कुरुक्षेत्र में भी  श्री कृष्ण  जी  अर्जुन  को यही सलाह देते  ।   #BengalBurning  #BengalViolence  #KhooniKhela  #WestBengalViolence #SaveBengalBJPsupporters  #JusticeForBengalBJPKarykarta,NONE
hasoc_2020_hi_2538,@TV9Bharatvarsh @narendramodi कोई चोक़ीदार भी नहीं चाहता उसका बेटा चोक़ीदार बने,NONE
