,Unnamed: 0,sample,sent_id,sentences,label
0,0,politifact13703,politifact13703_0,"CNNews– A 10-year-old young boy who had eaten a banana his mom acquired at a Walmart in Tulsa, Oklahoma, was hurried to the emergency clinic due to fever, chills and tiredness simply seven days after usage.",false_
1,1,politifact13703,politifact13703_1,"After a thorough examination, blood tests and scans the young boy tested favorable for the HIV virus.",false_
3,3,politifact13703,politifact13703_3,"However, the 10-year-old child was not the only one admitted to the medical facility for the very same concern.",false_
4,4,politifact13703,politifact13703_4,"Eight kids, all under the age of 17, have actually been identified as HIV-positive within the month of March.",false_
6,6,politifact13703,politifact13703_6,"Getting bananas from The Tulsa, Oklahoma Walmart.In accordance with the moms and dads, they sent several foods their kids had been consuming to medical professionals for screening, along with documenting the different places they had visited within the month.",false_
7,7,politifact13703,politifact13703_7,They discovered that 8 children had consumed bananas from the superstore.,false_
8,8,politifact13703,politifact13703_8,"The facility, LHC Laboratories, evaluated the bananas which all came up positive consisting of the HIV virus.",false_
9,9,politifact13703,politifact13703_9,"Scientists are still attempting to understand how the infection might have gotten in the bananas, remained active, and contaminated the kids through consumption.In the meantime, bananas are being managed the racks in Walmart stores across the United States.",false_
10,10,politifact13703,politifact13703_10,"According to many media outlets, the CDC is motivating Americans to discard any leftover bananas and to call your doctor if you experience any of the following signs: FeverChills RashNight sweats MuscleAches AchingThroat Tiredness Inflamed lymph nodes Mouth sores",false_
11,11,politifact13703,politifact13703_11,These signs might be an indication that you have actually contracted the HIV virus and have to look for medical attention immediately.,true_
2,2,politifact13703,politifact13703_2,His mother certainly in shock.,ignored
5,5,politifact13703,politifact13703_5,Exactly what is the something they share?,ignored
