text_id,text,task_2
hasoc_en_2,@politico No  We should remember very clearly that #Individual1 just admitted to treason   #TrumpIsATraitor  #McCainsAHero #JohnMcCainDay,HATE
hasoc_en_8,#ADOS #trendingnow #blacklivesmatter #justice #fucktrump  ‘Central Park Five’ Prosecutor Elizabeth Lederer Out at Columbia Law School ,PRFN
hasoc_en_12,I don’t know how much more I can take  45 is a compulsive liar  #Trump30Hours #TrumpIsATraitor,HATE
hasoc_en_16,Good work @ICC keep going just destroy the whole fucking world cup #ShameOnICC ,PRFN
hasoc_en_24,#ShameOnICC  1  ICC on Dhoni's gloves                    Vs  2 ICC planning the World Cup ,HATE
hasoc_en_28,Disgusting  And they don’t change their culture or come up with vetting system or preventative ways to stop this from occurring  This will continue to happen  The Catholic Church needs to go  #rapist #ChildTrafficking #CatholicChurch #CatholicTwitter ,HATE
hasoc_en_33,@realDonaldTrump fuck you and go fuck yourself you piece of shit someone get this asshole a jail cell for his birthday #ImpeachTrumpNow #fucktrump #dickstaindonald #DerangedDonald ,PRFN
hasoc_en_35,@TheRealOJ32 Of all the retired NFL players  why is it that you DON’T suffer from CTE      You should be at the bottom of a pool you mistook for an elevator  #murderer,HATE
hasoc_en_44,@Werdnat This crazy Manbaby will probably paint it gold   Not gawdy at all     #ihate45   #worstPresidentever   #weaselheadedfucknugget   #shutyourshithole   #fucktrump   #yousuck   #liarinchief   #noclass   #moron   #ridusofthisdisease  #UnfollowTrump  ┌,PRFN
hasoc_en_45,This is everything  #fucktrump ,PRFN
hasoc_en_47,Hey Trump   These lovely ladies got something to tell ya       #FUCKTRUMP ,PRFN
hasoc_en_48,I love this bill  I think they should start printing them #FuckTrump ,PRFN
hasoc_en_49,So basically he’s not vegan #dickhead  ,PRFN
hasoc_en_50,@TheRealOJ32 The world will rejoice when you die  #murderer #classless,OFFN
hasoc_en_52,@realDonaldTrump Maybe @LindseyGrahamSC should take his lips off your ass  read the report  and get with the dems and everyone else with half a brain and get YOU out of the White House  ‍♂️ #POSPOTUS #ASSKISSERS #ImpeachTrump #FuckTrump #ButNotLiterally,PRFN
hasoc_en_62,@ICC @bira91 This world cup 19 should be ban     Rain rain rain motherfuckerr ICC   Shift this world to another country or ban this world cup 19    #ShameOnICC ,PRFN
hasoc_en_64,    LMAO at the shoe lifts  girdle butt stance   Pathetic     But #FUCKTRUMP for the vomitus of lies he spews and crimes he commits ,PRFN
hasoc_en_92,@realDonaldTrump Destroy our country   More like defending our country against a treasonous traitor in the white house     #TrumpIsATraitor   #TrumpTaxes  #TrumpsAnInternationalDisgrace   #TrumpMustResign,OFFN
hasoc_en_96,@kojikabu @MaggieKlaus @JoeBiden What it is that we will do anything to get trump the hell out there EXCEPT CHEAT LIKE TRUMP DID      #FuckTrump #Bluewave2020,HATE
hasoc_en_103,So it looks like the lying incompetent homophobic racist #BorisJohnson will be the next #Tory leader   well at least we’ll get a #GeneralElection eh Boris   #BorisJohnsonShouldNotBePM #ToryDrugOff #ToryLeadershipContest ,OFFN
hasoc_en_130,@UROCKlive1 He’s had the worst numbers of any president ever  Theres not much “Lower to go  #TrumpIsATraitor,OFFN
hasoc_en_135,Fck the US tho and #fucktrump ,PRFN
hasoc_en_145,@realDonaldTrump This is one of the worst times to be American  because you are causing serious damage to our country  I sure don't wish you a Happy Father's Day  because everyone knows you're a terrible father  #DerangedDonald #TrumpisaTraitor #TrumpisaC,OFFN
hasoc_en_146,Trump doesn’t know what the Hell he is talking about        He can’t help but spew B*llshit      He’s a Disgrace &amp  2020 can not get here fast enough     #FuckfaceVonClownstick #fucktrump #LockTrumpUp #ImpeachTheMF #ImpeachTheMFTraitor ,PRFN
hasoc_en_158,@AdityaRajKaul Dukarr  Mullah's drying for business deals with ️ Bloody beggar's Allah ke naam de de  Chalo  tamatar toh dedo     #INDvPAK #CWC19  #ModiJiSeMilnaHai #FridayMotivation #ModiSurgicalSnub #ModiGlobalPower #ImranKhan #c,PRFN
hasoc_en_213,@realDonaldTrump You are a crook and a national embarrassment   #FUCKTRUMP  #impeach45  Happy #JohnMcCainDay,OFFN
hasoc_en_214,@Conservatives a 'Johnson' is slang for a penis  #Dickhead #NominativeDeterminism  #ToriesOut #PeoplesVote #Blindingobvious,OFFN
hasoc_en_219,@realDonaldTrump “I was such an amazing quarterback in high school  that I can tell you  Watch these 50 year old videos        Dolt45 loves to prove over and over again what a PATHETIC LOSER he is  Can you please for one day show just a little bit of c,OFFN
hasoc_en_234,Some of the GOP in Congress I find utterly disgusting  It’s almost impossible to listen to them try to justify fucked up trump  It’s really disheartening #FuckTrump #FuckTheGOP,PRFN
hasoc_en_250,The great thing about all the Nazis  right wingers  alt right types and the rest of the fascist maggots on Twitter is this  you can BLOCK them and UNFOLLOW them  It’s really makes me happy not to deal with or see their bullshit #fucktrump ,PRFN
hasoc_en_268,Now we can add #FlagRapist to the resume of #Traitor  #Pedophile  #Racist  #Rapist and serial sexual predator of women @RealDonaldtRump   via @HuffPostPol #MeToo,OFFN
hasoc_en_287,@robreiner He is so fucking stupid  #FuckTrump,PRFN
hasoc_en_288,Trump is a traitor  Period     #TrumpIsATraitor ,OFFN
hasoc_en_312,#ShameOnICC  ICC is earning billions from this event  but at the management level they performance is zero  Even a small company manager can handle such events more efficiently then ICC  ,HATE
hasoc_en_313,@snb19692 @suehard @ElspethElspeth @janejanekeane @LisatheSimpson You do know that #Dickhead  alias Steve Bray  is making a fortune off of crowd funding  ,PRFN
hasoc_en_314,@realDonaldTrump TRAITOR  #TrumpIsATraitor ,OFFN
hasoc_en_315,@realDonaldTrump @foxandfriends Pete Hogsbreath is in Dotard Donald Trump’s club for Adulterous Daddies  #Adultery #TrumpCrimeFamily #TrumpIsAFraud #TrumpsAnInternationalDisgrace #TrumpIsATraitor @foxandfriends,OFFN
hasoc_en_323,@realDonaldTrump @USArmy Trump is a piece of  Well I was serving proudly he was playing Captain Bone Spurr’s at Studio 54 in NY Spending his Daddy’s money  prowling for women like Ivanka And Melania The Purple heart he has he took from a veteran and s,OFFN
hasoc_en_325,@realDonaldTrump It's not a presidency it's a Trump crime spree  #TrumpIsATraitor ,OFFN
hasoc_en_335,@khanamad999 @MoeedNj @GVSNews how this #porki country produce such rectums    surgical strike 1  surgical strike 2 0  #balakotairstrike   #F16 down  shamelessly returned capture pilot in 24 Hrs  that to announced by the #jihadi #pm #imranhataomulkbachao,OFFN
hasoc_en_338,Fuck me  do we really want the idiot @BorisJohnson in charge of the country when he can’t even function as a mayor  #inepttoryparty #generalelectionow #torysout #BorisJohnsonShouldNotBePM ,PRFN
hasoc_en_344,@JohnCornyn @txlegion @TexasBoysState Did you tell them How you voted to repeal sanctions against Oleg Deripaska and Rusal   Cant wait to Vote you out  @mjhegar #TraitorTrump #TrumpRussia #ReadTheMuellerReport #TrumpIsATraitor #Trum,OFFN
hasoc_en_349,Have to say  a great benefit to having a known pathological liar as president is when he tries to start a war  no one believes him #TrumpIsATraitor,OFFN
hasoc_en_357,innocent people  especially those in a drastically higher power bracket  DO NOT PAY  let's face it  #bryansinger is a fucking #RAPIST hollywood has enabled him to prey on young men for DECADES #rapeculture hope karma comes for him and his enablers ,PRFN
hasoc_en_359,Don’t think #Celtics and #NBA beat writers understand that the fans don’t want Kyrie back and didn’t want to trade the world for a one year rental  Davis going to LA with them giving up major haul is a sign of relief for Celtics fans #Dickhead,PRFN
