comment,amr
"Oh yeah, and the media i just the propaganda arm of the establishment.","# ::snt Oh yeah, and the media i just the propaganda arm of the establishment.
(a / and
      :op2 (a2 / arm
            :mod (p / propaganda)
            :poss (e / establishment)
            :mod (j / just)
            :domain (m / media))
      :mod (o / oh-yeah
            :mode expressive))"
"Establishment owns media, backs HRC. And that really looks bad for her. Gone.","# ::snt Establishment owns media, backs HRC. And that really looks bad for her. Gone.
(m / multi-sentence
      :snt1 (a / and
            :op1 (o / own-01
                  :ARG0 (e / establishment)
                  :ARG1 (m2 / media))
            :op2 (b / back-01
                  :ARG0 e
                  :ARG1 (p / person
                        :name (n / name
                              :op1 ""HRC""))))
      :snt2 (a2 / and
            :op2 (l / look-02
                  :ARG0 (t / that)
                  :ARG1 (b2 / bad-04)
                  :ARG2 (s / she)
                  :degree (r / really)))
      :snt3 (g / go-02
            :mode expressive))"
"Thought the Press is supposed to report the news, not try to sway opinion and make it","# ::snt Thought the Press is supposed to report the news, not try to sway opinion and make it
(t / think-01
      :ARG1 (s / suppose-02
            :ARG1 (p / press)
            :ARG2 (r / report-01
                  :ARG0 p
                  :ARG1 (n / news)
                  :ARG1-of (ii / instead-of-91
                        :ARG2 (t2 / try-01
                              :ARG0 p
                              :ARG1 (a / and
                                    :op1 (s2 / sway-02
                                          :ARG0 p
                                          :ARG1 (o / opine-01))
                                    :op2 (m / make-02
                                          :ARG0 p
                                          :ARG1 o)))))))"
"For me, Clinton is more plastic than a Barbie doll and I don't believe a word she says.","# ::snt For me, Clinton is more plastic than a Barbie doll and I don't believe a word she says.
(a / and
      :op1 (h / have-degree-91
            :ARG1 (p / person
                  :name (n / name
                        :op1 ""Clinton""))
            :ARG2 (p2 / plastic)
            :ARG3 (m / more)
            :ARG4 (d / doll
                  :mod p
                  :name (n2 / name
                        :op1 ""Barbie"")))
      :beneficiary (ii / i)
      :op2 (b / believe-01
            :polarity -
            :ARG0 ii
            :ARG1 (w / word
                  :ARG1-of (s / say-01
                        :ARG0 p))))"
More concerning: % of people think Jim Webb won.,"# ::snt More concerning: % of people think Jim Webb won.
(h / have-degree-91
      :ARG1 (t / think-01
            :ARG0 (p / person
                  :ARG1-of (ii / include-91
                        :ARG2 (p2 / person)
                        :ARG3 (p3 / percentage-entity)))
            :ARG1 (w / win-01
                  :ARG0 (p4 / person
                        :name (n / name
                              :op1 ""Jim""
                              :op2 ""Webb""))))
      :ARG2 (c / concerning-01
            :ARG0 t)
      :ARG3 (m / more))"
A joke,"# ::snt A joke
(j / joke-01)"
Hell no we don't run,"# ::snt Hell no we don't run
(r / run-02
      :polarity -
      :ARG0 (w / we)
      :mod (h / hell
            :mode expressive))"
He's gonna win! NO ONE is running scared.,"# ::snt He's gonna win! NO ONE is running scared.
(m / multi-sentence
      :snt1 (w / win-01
            :ARG0 (h / he))
      :snt2 (s / scare-01
            :ARG1 (n / no-one)
            :ARG2 (r / run-02
                  :ARG0 n)))"
"Get some rest, the will carry you we all believe","# ::snt Get some rest, the will carry you we all believe
(g / get-01
      :mode imperative
      :ARG0 (y / you)
      :ARG1 (r / rest-01
            :ARG1 y
            :quant (s / some))
      :ARG1-of (b / believe-01
            :ARG0 (w / we
                  :mod (a / all))))"
"Doing my best, but I've had surgery and I'm getting tired.","# ::snt Doing my best, but I've had surgery and I'm getting tired.
(c / contrast-01
      :ARG1 (d / do-02
            :ARG0 (ii / i)
            :manner (g / good-03
                  :ARG2-of (h / have-degree-91
                        :ARG1 d
                        :ARG3 (m / most))))
      :ARG2 (a / and
            :op1 (s / surgery-01
                  :ARG1 ii)
            :op2 (t / tire-01
                  :ARG1 ii)))"
put the poll back up RT and flood twitter and FB,"# ::snt put the poll back up RT and flood twitter and FB
(a / and
      :op1 (p / put-01
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (p2 / poll-01)
            :ARG2 (b / back-up-04
                  :ARG0 p2
                  :ARG1 (p3 / publication
                        :name (n / name
                              :op1 ""RT""))))
      :op2 (f / flood-01
            :mode imperative
            :ARG0 y
            :ARG1 (a2 / and
                  :op1 (p4 / publication
                        :name (n2 / name
                              :op1 ""Twitter""))
                  :op2 (p5 / publication
                        :name (n3 / name
                              :op1 ""Facebook"")))))"
