,Unnamed: 0.1,Unnamed: 0,sent_id,sentences,label
6,6,politifact14384,politifact14384_6,"In one, Page asked if Trump might become president and Strzok replied,",false_
8,8,politifact14384,politifact14384_8,"The inspector general found no evidence connecting their views with “specific investigative decisions,” but said that comment and others “implies a willingness to take official action.”",false_
15,15,politifact14384,politifact14384_15,"Why was the FBI’s sick loser, Peter Strzok, working on the totally discredited Mueller team of 13 Angry & Conflicted Democrats, when Strzok was giving Crooked Hillary a free pass yet telling his lover, lawyer Lisa Page, that “we’ll stop” Trump from becoming President?",false_
0,0,politifact14384,politifact14384_0,"Peter Strzok, the FBI agent who sent anti-Trump messages to a colleague while leading the investigation of Hillary Clinton’s emails and Russia’s involvement in the Trump campaign, has said he’s willing to testify before the House Judiciary Committee, or any other committee that wants to talk with him.",true_
1,1,politifact14384,politifact14384_1,"This could lead to dramatic hearings, as Strzok could expose more information about those probes, and is central to President Trump’s effort to discredit Special Counsel Robert Mueller’s investigation.",true_
2,2,politifact14384,politifact14384_2,Reports last week indicated that House Judiciary chairman Bob Goodlatte was preparing to subpoena Strzok as part of the House investigation into the FBI’s conduct during the 2016 election.,true_
3,3,politifact14384,politifact14384_3,"Strzok’s lawyer, Aitan Goelman, said in a letter to Goodlatte released Sunday that the move would be unnecessary, as Strzok “intends to voluntarily appear and testify before your committee and any other Congressional committee that invites him.",true_
5,5,politifact14384,politifact14384_5,"In the lead-up to the 2016 election Strzok and former FBI lawyer Lisa Page, who were having an affair, exchanged anti-Trump messages on their FBI-issued phones.",true_
9,9,politifact14384,politifact14384_9,"Strzok and Page said he meant Trump wouldn’t be elected, and noted that they did not do anything to hurt Trump’s odds, like leaking the existence of the Russia probe before the election.",true_
10,10,politifact14384,politifact14384_10,"Goelman told the Washington Post on Sunday that there’s “no question” that Strzok regrets sending the messages, but that “I think what he was doing is expressing his political opinions in what he thought was a private text conversation, and he regrets that this has been weaponized by people with political motivations to try to discredit the Mueller investigation.",true_
11,11,politifact14384,politifact14384_11,"”Mueller removed Strzok from his investigation several weeks after it started following the discovery of the texts.Goelman said that if asked to testify, Strzok would be willing to testify without immunity, and would not invoke his Fifth Amendment rights.",true_
12,12,politifact14384,politifact14384_12,"He said the agent “intends to answer any question put to him, and he intends to defend the integrity of the Clinton email investigation, the Russia collusion investigation to the extent that that’s a topic, and his own integrity.”",true_
13,13,politifact14384,politifact14384_13,"Trump reiterated his thoughts on the matter on Sunday night, which are not supported by the inspector general’s findings.",true_
14,14,politifact14384,politifact14384_14,"The report did not cover the Russia probe, though that did not stop Trump’s allies from calling for Mueller’s immediate suspension.",true_
16,16,politifact14384,politifact14384_16,"Witch Hunt! — Donald J. Trump (@realDonaldTrump) June 18, 2018“",non_check_worthy
17,17,politifact14384,politifact14384_17,"The highest level of bias I’ve ever witnessed in any law enforcement officer.” Trey Gowdy on the FBI’s own, Peter Strzok.",non_check_worthy
18,18,politifact14384,politifact14384_18,Also remember that they all worked for Slippery James Comey and that Comey is best friends with Robert Mueller.,non_check_worthy
19,19,politifact14384,politifact14384_19,"A really sick deal, isn’t it? — Donald J. Trump (@realDonaldTrump) June 18, 2018“",non_check_worthy
4,4,politifact14384,politifact14384_4,"”The letter noted that Strzok cooperated fully with the DOJ inspector general, who issued a report last week that was highly critical of the agent.",quote
7,7,politifact14384,politifact14384_7, “No. No he won’t. We’ll stop it.” ,quote
20,20,politifact14384,politifact14384_20,"Strzok still works for the FBI, but it’s unclear what he does now.",ignored
21,21,politifact14384,politifact14384_21,"The inspector general referred him, Page, and three other people to the FBI office that handles disciplinary action.",ignored
