comment,amr
/11 Psyche was a mortal so beautiful that Aphrodite herself became jealous of the attention she attracted from men . The Bath of Psyche - Sir Frederic Leighton <URL>,"# ::snt /11 Psyche was a mortal so beautiful that Aphrodite herself became jealous of the attention she attracted from men . The Bath of Psyche - Sir Frederic Leighton <URL>
(m / multi-sentence
      :snt1 (h / have-degree-91
            :li 11
            :ARG1 (p / person
                  :name (n / name
                        :op1 ""Psyche""))
            :ARG2 (b / beautiful-02
                  :ARG1 p)
            :ARG3 (s / so)
            :ARG6 (b2 / become-01
                  :ARG1 (p2 / person
                        :name (n2 / name
                              :op1 ""Aphrodite""))
                  :ARG2 (j / jealous-02
                        :ARG0 p2
                        :ARG1 (a / attract-01
                              :ARG0 (m2 / man)
                              :ARG1 (a2 / attend-02
                                    :ARG0 m2
                                    :ARG1 p)
                              :ARG2 p2))))
      :snt2 (p3 / person
            :name (n3 / name
                  :op1 ""Sir""
                  :op2 ""Frederic""
                  :op3 ""Leighton"")
            :ARG0-of (h2 / have-org-role-91
                  :ARG2 (r / reverend)))
      :snt3 (e / event
            :name (n4 / name
                  :op1 ""The""
                  :op2 ""Bath""
                  :op3 ""of""
                  :op4 ""Psyche"")))"
"/11 She sent her son , the god Eros , to poison the hearts of men against Psyche , but instead , he fell in love with her himself . The First Kiss - L'Amour et Psych , enfants - William Adolphe Bouguereau <URL>","# ::snt /11 She sent her son , the god Eros , to poison the hearts of men against Psyche , but instead , he fell in love with her himself . The First Kiss - L'Amour et Psych , enfants - William Adolphe Bouguereau <URL>
(m / multi-sentence
      :snt1 (h / have-concession-91
            :li 11
            :ARG1 (s / send-01
                  :ARG0 (s2 / she)
                  :ARG1 (p / person
                        :name (n / name
                              :op1 ""Eros"")
                        :ARG0-of (h2 / have-rel-role-91
                              :ARG1 s2
                              :ARG2 (s3 / son)))
                  :ARG2 (p2 / poison-01
                        :ARG0 p
                        :ARG1 (h3 / heart
                              :part-of (m2 / man))
                        :ARG0-of (c / counter-01
                              :ARG1 (p3 / person
                                    :name (n2 / name
                                          :op1 ""Psyche"")))))
            :ARG2 (ii / instead-of-91
                  :ARG1 (f / fall-07
                        :ARG1 p
                        :ARG2 (l / love-01
                              :ARG0 p
                              :ARG1 (s4 / she)))))
      :snt2 (p4 / publication-91
            :ARG1 (b / book
                  :name (n3 / name
                        :op1 ""The""
                        :op2 ""First""
                        :op3 ""Kiss"")
                  :ARG1-of (m3 / mean-01
                        :ARG2 (a / and
                              :op1 (p5 / publication
                                    :name (n4 / name
                                          :op1 ""L'Amour""))
                              :op2 (p6 / publication
                                    :name (n5 / name
                                          :op1 ""Psych""))
                              :op3 (p7 / publication
                                    :name (n6 / name
                                          :op1 ""Enfants""))))
                  :ARG4 (p8 / person
                        :name (n7 / name
                              :op1 ""William""
                              :op2 ""Adolphe""
                              :op3 ""Bouguereau"")))))"
"/11 In spite of the attention she received , Psyche remained unmarried , as she wanted to love her husband . Her parents became desperate and went to an oracle . Psyche - William Adolphe Bouguereau <URL>","# ::snt /11 In spite of the attention she received , Psyche remained unmarried , as she wanted to love her husband . Her parents became desperate and went to an oracle . Psyche - William Adolphe Bouguereau <URL>
(m / multi-sentence
      :snt1 (r / remain-01
            :li 11
            :ARG1 (p / person
                  :name (n / name
                        :op1 ""Psyche""))
            :ARG3 (m2 / marry-01
                  :polarity -
                  :ARG1 p)
            :ARG1-of (c / cause-01
                  :ARG0 (w / want-01
                        :ARG0 p
                        :ARG1 (l / love-01
                              :ARG0 p
                              :ARG1 (p2 / person
                                    :ARG0-of (h / have-rel-role-91
                                          :ARG1 p
                                          :ARG2 (h2 / husband)))))))
      :snt2 (a / and
            :op1 (b / become-01
                  :ARG1 (p3 / person
                        :ARG0-of (h3 / have-rel-role-91
                              :ARG1 p
                              :ARG2 (p4 / parent)))
                  :ARG2 (d / despair-01
                        :ARG0 p3))
            :op2 (g / go-02
                  :ARG0 p3
                  :ARG4 (o / oracle)))
      :snt3 (p5 / person
            :name (n2 / name
                  :op1 ""William""
                  :op2 ""Adolphe""
                  :op3 ""Bouguereau"")))"
/11 Eros arranged with Apollo for the oracle to say her husband would be an ugly beast at the top of a mountain and she'd never see his face . The Priestess of Delphi - John Collier <URL>,"# ::snt /11 Eros arranged with Apollo for the oracle to say her husband would be an ugly beast at the top of a mountain and she'd never see his face . The Priestess of Delphi - John Collier <URL>
(m / multi-sentence
      :snt1 (a / arrange-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""Eros""))
            :ARG1 (s / say-01
                  :ARG0 p
                  :ARG1 (a2 / and
                        :op1 (b / beast
                              :mod (u / ugly)
                              :domain (p2 / person
                                    :ARG0-of (h / have-rel-role-91
                                          :ARG1 p
                                          :ARG2 (h2 / husband)))
                              :location (t / top
                                    :part-of (m2 / mountain)))
                        :op2 (s2 / see-01
                              :polarity -
                              :ARG0 p
                              :ARG1 (f / face
                                    :part-of (p3 / person
                                          :name (n2 / name
                                                :op1 ""John""
                                                :op2 ""Collier"")
                                          :ARG0-of (h3 / have-org-role-91
                                                :ARG1 m2
                                                :name (n3 / name
                                                      :op1 ""Delphi""))
                                          :ARG2 (p4 / priestess)))
                              :time (e / ever))))
            :ARG2 (o / oracle))
      :time (d / date-entity
            :year 2001
            :month 11)
      :snt2 (p5 / person
            :name (n4 / name
                  :op1 ""Apollo"")))"
"/11 After marrying , Psyche was only with him at night , where he was tender and loving , making her very happy . Her sisters told her he must be a beast who would kill her & that she must kill him first . Psyche's Wedding - Edward Coley Burne-Jones <URL>","# ::snt /11 After marrying , Psyche was only with him at night , where he was tender and loving , making her very happy . Her sisters told her he must be a beast who would kill her & that she must kill him first . Psyche's Wedding - Edward Coley Burne-Jones <URL>
(m / multi-sentence
      :snt1 (w / wed-01
            :ARG1 (p / person
                  :name (n / name
                        :op1 ""Psyche""))
            :time (d / date-entity
                  :dayperiod (n2 / night)
                  :time-of (a / and
                        :op1 (t / tender-02
                              :ARG0 (h / he))
                        :op2 (l / love-01
                              :ARG0 h)
                        :ARG0-of (m2 / make-02
                              :ARG1 (h2 / happy-01
                                    :ARG1 p
                                    :degree (v / very))))
                  :mod (o / only)))
      :snt2 (t2 / tell-01
            :ARG0 (p2 / person
                  :ARG0-of (h3 / have-rel-role-91
                        :ARG1 (s / she)
                        :ARG2 (s2 / sister)))
            :ARG1 (a2 / and
                  :op1 (o2 / obligate-01
                        :ARG1 (b / beast
                              :ARG0-of (k / kill-01
                                    :ARG1 s))
                        :ARG2 (k2 / kill-01
                              :ARG0 s
                              :ARG1 h
                              :ord (o3 / ordinal-entity
                                    :value 1)))
                  :op2 (o4 / obligate-01
                        :ARG1 s
                        :ARG2 (k3 / kill-01
                              :ARG0 s
                              :ARG1 h
                              :time (f / first))))
            :snt3 w
            :ARG1 (p3 / person
                  :name n
                  :op1 ""Edward""
                  :op2 ""Coley""
                  :op3 ""Burne-Jones"")))"
"/11 When Psyche held a lamp up and saw his face , she woke Eros , who told her she had betrayed him and flew away . Psyche Entering Cupid's Garden - John William Waterhouse <URL>","# ::snt /11 When Psyche held a lamp up and saw his face , she woke Eros , who told her she had betrayed him and flew away . Psyche Entering Cupid's Garden - John William Waterhouse <URL>
(m / multi-sentence
      :snt1 (a / and
            :op1 (w / wake-01
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""Psyche"")
                        :part (f / face))
                  :ARG1 (p2 / person
                        :name (n2 / name
                              :op1 ""Eros"")
                        :ARG0-of (t / tell-01
                              :ARG1 (a2 / and
                                    :op1 (b / betray-01
                                          :ARG0 p
                                          :ARG1 (h / he
                                                :part f))
                                    :op2 (f2 / fly-01
                                          :ARG0 p
                                          :direction (a3 / away)))
                              :ARG2 p))
                  :time (a4 / and
                        :op1 (h2 / hold-01
                              :ARG0 p
                              :ARG1 (l / lamp)
                              :direction (u / up))
                        :op2 (s / see-01
                              :ARG0 p
                              :ARG1 f)))
            :snt2 (e / enter-01
                  :ARG0 (p3 / person
                        :name (n3 / name
                              :op1 ""Psyche""))
                  :ARG1 (g / garden
                        :poss (p4 / person
                              :name (n4 / name
                                    :op1 ""Cupid"")))
                  :ARG1-of (d / describe-01
                        :ARG0 (p5 / publication
                              :name (n5 / name
                                    :op1 ""John""
                                    :op2 ""William""
                                    :op3 ""Waterhouse""))))))"
"/11 She begged Aphrodite to let her see Eros , and the goddess gave her impossible tasks to complete to prove her love . Aphrodite - Briton Rivire Canvas <URL>","# ::snt /11 She begged Aphrodite to let her see Eros , and the goddess gave her impossible tasks to complete to prove her love . Aphrodite - Briton Rivire Canvas <URL>
(m / multi-sentence
      :snt1 (a / and
            :li 11
            :op1 (b / beg-01
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""Aphrodite""))
                  :ARG1 p
                  :ARG2 (l / let-01
                        :ARG0 p
                        :ARG1 (s / see-01
                              :ARG0 p
                              :ARG1 (p2 / person
                                    :name (n2 / name
                                          :op1 ""Eros"")))))
            :op2 (g / give-01
                  :ARG0 p
                  :ARG1 (t / task
                        :ARG1-of (c / complete-01
                              :ARG0 p
                              :ARG1-of (p3 / possible-01
                                    :polarity -)
                              :purpose (p4 / prove-01
                                    :ARG0 p
                                    :ARG1 (l2 / love-01
                                          :ARG0 p))))
                  :ARG2 p))
      :snt2 (p5 / publication
            :name (n3 / name
                  :op1 ""Briton""
                  :op2 ""Rivire""
                  :op3 ""Canvas"")))"
"/ The third task was to retrieve a gold box from Hades but not to look inside . She was told it held an elixir and curious , she opened it . Instead it held Morpheus , god of sleep , and she fell asleep . Psyche Opening the Golden Box - John William Waterhouse <URL>","# ::snt / The third task was to retrieve a gold box from Hades but not to look inside . She was told it held an elixir and curious , she opened it . Instead it held Morpheus , god of sleep , and she fell asleep . Psyche Opening the Golden Box - John William Waterhouse <URL>
(m / multi-sentence
      :snt1 (t / task
            :ord (o / ordinal-entity
                  :value 3)
            :domain (r / retrieve-01
                  :ARG1 (b / box
                        :mod (g / gold))
                  :ARG2 (p / person
                        :name (n / name
                              :op1 ""Hades""))
                  :ARG1-of (c / contrast-01
                        :ARG2 (l / look-01
                              :polarity -
                              :ARG1 b))))
      :snt2 (a / and
            :op1 (t2 / tell-01
                  :ARG1 (h / hold-01
                        :ARG0 b
                        :ARG1 (e / elixir))
                  :ARG2 (s / she))
            :op2 (c2 / curious-01
                  :ARG0 (o2 / open-01
                        :ARG0 s
                        :ARG1 e)
                  :ARG1 s))
      :snt3 (a2 / and
            :op1 (h2 / hold-01
                  :ARG0 (ii / it)
                  :ARG1 (p2 / person
                        :name (n2 / name
                              :op1 ""Morpheus"")
                        :ARG0-of (h3 / have-org-role-91
                              :ARG2 (g2 / god
                                    :mod (s2 / sleep-01))))
                  :ARG1-of (ii2 / instead-of-91))
            :op2 (f / fall-07
                  :ARG1 (s3 / she)
                  :ARG2 (s4 / sleep-01
                        :ARG0 s3)))
      :snt4 (o3 / open-01
            :ARG0 (p3 / person
                  :name (n3 / name
                        :op1 ""Psyche""))
            :ARG1 b
            :mod g)
      :ARG1-of (d / describe-01
            :ARG0 (p4 / publication
                  :name (n4 / name
                        :op1 ""John""
                        :op2 ""William""
                        :op3 ""Waterhouse""))))"
"/11 The distressed Eros went to Zeus and begged him to save her . Impressed by their love , Zeus went even further and made Psyche immortal , the goddess of soul . The Abduction of Psyche - William Adolphe Bouguereau <URL>","# ::snt /11 The distressed Eros went to Zeus and begged him to save her . Impressed by their love , Zeus went even further and made Psyche immortal , the goddess of soul . The Abduction of Psyche - William Adolphe Bouguereau <URL>
(m / multi-sentence
      :snt1 (a / and
            :li 11
            :op1 (g / go-02
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""Eros"")
                        :ARG1-of (d / distress-01))
                  :ARG4 (p2 / person
                        :name (n2 / name
                              :op1 ""Zeus"")))
            :op2 (b / beg-01
                  :ARG0 p
                  :ARG1 p2
                  :ARG2 (s / save-02
                        :ARG0 p2
                        :ARG1 (s2 / she))))
      :snt2 (a2 / and
            :op1 g
            :ARG0 (p3 / person
                  :name (n3 / name
                        :op1 ""Zeus"")
                  :ARG1-of (e / embarrass-01
                        :ARG0 (l / love-01
                              :ARG0 p3)))
            :ARG1-of (f / further-01
                  :mod (e2 / even)))
      :op2 (m2 / make-02
            :ARG0 p3
            :ARG1 (ii / immortalize-01
                  :ARG1 (p4 / person
                        :name (n4 / name
                              :op1 ""Psyche"")
                        :mod (g2 / god
                              :mod (s3 / soul)))))
      :snt3 (p5 / publication
            :name (n5 / name
                  :op1 ""The""
                  :op2 ""Abduction""
                  :op3 ""of""
                  :op4 ""Psyche"")
            :ARG1-of (a3 / author-01
                  :ARG0 (p6 / person
                        :name (n6 / name
                              :op1 ""William""
                              :op2 ""Adolphe""
                              :op3 ""Bouguereau"")))))"
"/11 Psyche is pictured with butterfly wings to represent transformation . The marriage of Cupid and Psyche , Love and Soul , produced Voluptas , goddess of sensual pleasure . The Awakening of Psyche - Guillaume Seignac <URL>","# ::snt /11 Psyche is pictured with butterfly wings to represent transformation . The marriage of Cupid and Psyche , Love and Soul , produced Voluptas , goddess of sensual pleasure . The Awakening of Psyche - Guillaume Seignac <URL>
(m / multi-sentence
      :snt1 (p / picture-01
            :li 11
            :ARG1 (p2 / person
                  :name (n / name
                        :op1 ""Psyche"")
                  :part (w / wing
                        :mod (b / butterfly)))
            :purpose (r / represent-01
                  :ARG0 p2
                  :ARG1 (t / transform-01)))
      :snt2 (p3 / produce-01
            :ARG0 (m2 / marry-01
                  :ARG1 (p4 / person
                        :name (n2 / name
                              :op1 ""Cupid""))
                  :ARG2 p2
                  :ARG3 (n3 / name
                        :op1 ""Psyche""))
            :ARG4 (n4 / name
                  :op1 ""Love""
                  :op2 ""and""
                  :op3 ""Soul""))
      :ARG1 (m3 / music
            :name (n5 / name
                  :op1 ""Voluptas"")
            :ARG1-of (m4 / mean-01
                  :ARG2 (p5 / person
                        :name (n6 / name
                              :op1 ""Goddess"")
                        :mod (p6 / pleasure
                              :mod (s / sensual)))))
      :snt3 (w2 / work-of-art
            :name (n7 / name
                  :op1 ""The""
                  :op2 ""Awaken""
                  :op3 ""of""
                  :op4 ""Psyche"")
            :ARG1-of (n8 / name-01
                  :ARG2 (p7 / person
                        :name (n9 / name
                              :op1 ""Guillaume""
                              :op2 ""Seignac"")))))"
